Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-6786	Transcription profiling by array of Arabidopsis thaliana shoots treated with either DEX or CHX to identify STM-regulated target genes	transcription profiling by array	Arabidopsis thaliana	12	2018-05-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6786/E-MTAB-6786.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6786/
E-MTAB-6123	Transcription profiling by array time course of Arabidopsis thaliana Ler-1 plants with STM RNAi knock down or overexpression compared to controls	transcription profiling by array	Arabidopsis thaliana	30	2018-04-26	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6123/E-MTAB-6123.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6123/
E-MTAB-6135	Dry seed transcriptome differences associated with relief of sly1-2 seed dormancy through after-ripening or overexpression of the gibberellin-receptor GID1b	transcription profiling by array	Arabidopsis thaliana	12	2018-01-10	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6135/E-MTAB-6135.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6135/E-MTAB-6135.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6135/
E-MTAB-5980	Transcription profiling by array of Arabidopsis thaliana columbia and DEWAX2 overexpression plants line stems	transcription profiling by array	Arabidopsis thaliana	6	2017-12-31	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5980/E-MTAB-5980.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5980/
E-MTAB-4782	Transcriptome changes associated with relief of sly1-2 seed dormancy through after-ripening or overexpression of the gibberellin-receptor GID1b	transcription profiling by array	Arabidopsis thaliana	24	2017-05-09	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4782/E-MTAB-4782.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4782/E-MTAB-4782.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4782/
E-MTAB-5610	Transcription profiling by array of Arabidopsis roots infected with the cyst nematode H. schachtii	transcription profiling by array	Arabidopsis thaliana	6	2017-03-23	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5610/E-MTAB-5610.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5610/
E-MTAB-5607	Transcription profiling by array of Arabidopsis roots treated with nematode aqueous diffusate (NemaWater)	transcription profiling by array	Arabidopsis thaliana	6	2017-03-22	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5607/E-MTAB-5607.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5607/
E-MTAB-5315	Arabidopsis mutant with reduced expression of the Lys biosynthesis enzyme L,L-diaminopimelate aminotransferase (dapat)	transcription profiling by array	Arabidopsis thaliana	6	2017-01-02	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5315/E-MTAB-5315.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5315/
E-GEOD-71737	Response of Arabidopsis roots to combinations of nitrogen and hormonal signals	transcription profiling by array	Arabidopsis thaliana	64	2016-10-26	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71737/E-GEOD-71737.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71737/E-GEOD-71737.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71737/
E-MTAB-2853	Wuschel Related Homeobox 5 (WOX5) induced overexpression in seedling roots of Arabidopsis thaliana	transcription profiling by array	Arabidopsis thaliana	12	2016-10-16	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2853/E-MTAB-2853.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2853/
E-GEOD-72743	Expression profiling of dexamethasone inducible expression of YFP-CPR5-C in Arabidopsis	transcription profiling by array	Arabidopsis thaliana	12	2016-09-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72743/E-GEOD-72743.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72743/E-GEOD-72743.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-72743/
E-GEOD-72742	Expression profiling of Col-0 and rps2 treated with Psm:AvrRpt2	transcription profiling by array	Arabidopsis thaliana	15	2016-09-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72742/E-GEOD-72742.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-72742/E-GEOD-72742.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-72742/
E-GEOD-79997	Salt treatment of PtSnRK2.7 overexpressor	transcription profiling by array	Arabidopsis thaliana	12	2016-08-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79997/E-GEOD-79997.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79997/E-GEOD-79997.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79997/
E-GEOD-63474	Gene Expression in whole roots of the Arabidopsis nlp7-1 mutant	transcription profiling by array	Arabidopsis thaliana	4	2016-07-31	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63474/E-GEOD-63474.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63474/E-GEOD-63474.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63474/
E-GEOD-59719	Unsaturation of very-long-chain ceramides regulates hypoxia response by modulating ethylene signaling in Arabidopsis	transcription profiling by array	Arabidopsis thaliana	6	2016-07-24	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59719/E-GEOD-59719.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-59719/E-GEOD-59719.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-59719/
E-GEOD-66266	Expression profling of Arabidopsis  sto2 mutant	transcription profiling by array	Arabidopsis thaliana	6	2016-07-03	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66266/E-GEOD-66266.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66266/E-GEOD-66266.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66266/
E-MTAB-4130	Transcription profiling by array of  Arabidopsis thaliana roots following the photoperiodic induction of flowering	transcription profiling by array	Arabidopsis thaliana	12	2016-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4130/E-MTAB-4130.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4130/E-MTAB-4130.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4130/
E-MTAB-4129	Transcription profiling by array of the root transcriptome from Arabidopsis thaliana plants grown on different growing substrates (hydroponics and soil)	transcription profiling by array	Arabidopsis thaliana	6	2016-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4129/E-MTAB-4129.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-4129/E-MTAB-4129.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4129/
E-GEOD-63186	RNA-DIRECTED DNA METHYLATION 4 modulates cold stress resistance in Arabidopsis through the C-REPEAT-BINDING FACTOR-mediated pathway	transcription profiling by array	Arabidopsis thaliana	24	2016-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63186/E-GEOD-63186.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63186/E-GEOD-63186.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63186/
E-GEOD-63185	RNA-DIRECTED DNA METHYLATION 4 modulates cold stress resistance in Arabidopsis through the C-REPEAT-BINDING FACTOR-mediated pathway [Affymetrix]	transcription profiling by array	Arabidopsis thaliana	12	2016-06-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63185/E-GEOD-63185.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63185/E-GEOD-63185.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63185/
E-GEOD-79678	Transcription profiling by array of Arabidopsis p53-transgenic seedlings	transcription profiling by array	Arabidopsis thaliana	6	2016-06-26	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79678/E-GEOD-79678.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-79678/E-GEOD-79678.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-79678/
E-MTAB-3659	Gene expression profiling by array of Arabidopsis tt2 mutant	transcription profiling by array	Arabidopsis thaliana	6	2016-06-15	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3659/E-MTAB-3659.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3659/
E-GEOD-68944	Expression data from sound treated Arabidopsis thaliana	transcription profiling by array	Arabidopsis thaliana	18	2016-06-15	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68944/E-GEOD-68944.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68944/E-GEOD-68944.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-68944/
E-GEOD-81516	Respiratory burst oxidase homologues D and F in catalase2 deficient plants	transcription profiling by array	Arabidopsis thaliana	9	2016-06-10	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-81516/E-GEOD-81516.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-81516/E-GEOD-81516.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-81516/
E-GEOD-66365	Transcriptomic responses of cat2-2 and shr-6 cat2-2 to photorespiratory conditions	transcription profiling by array	Arabidopsis thaliana	6	2016-06-10	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66365/E-GEOD-66365.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66365/E-GEOD-66365.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66365/
E-GEOD-80461	Expression data from 29-day old Arabidopsis plants	transcription profiling by array	Arabidopsis thaliana	24	2016-05-31	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80461/E-GEOD-80461.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-80461/E-GEOD-80461.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-80461/
E-GEOD-75928	Expression profiling of Fusarium oxysporum infected wild-type Arabidopsis and a 35S Fusarium SIX4 overexpression line	transcription profiling by array	Arabidopsis thaliana	8	2016-05-31	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75928/E-GEOD-75928.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75928/E-GEOD-75928.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75928/
E-GEOD-58771	Expression data from Arabidopsis thaliana root and piriformaspora indica  during log and short term interaction	transcription profiling by array	Arabidopsis thaliana	4	2016-05-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58771/E-GEOD-58771.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-58771/E-GEOD-58771.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-58771/
E-GEOD-36964	Expression data from gbf1, gbf1 hy5, and gbf1 hyh mutants	transcription profiling by array	Arabidopsis thaliana	8	2016-04-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-36964/E-GEOD-36964.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-36964/E-GEOD-36964.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-36964/
E-MTAB-3402	Response of clavata 2-7 mutant to Ralstonia solanacearum	transcription profiling by array	Arabidopsis thaliana	16	2016-03-25	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3402/E-MTAB-3402.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3402/
E-MTAB-3400	Response of two clavata 1 mutants to Ralstonia solanacearum	transcription profiling by array	Arabidopsis thaliana	24	2016-03-25	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3400/E-MTAB-3400.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3400/
E-GEOD-73841	The purine metabolite allantoin can activate the jasmonate signaling pathway in a MYC2-regulated and ABA-dependent manner	transcription profiling by array	Arabidopsis thaliana	4	2016-03-01	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73841/E-GEOD-73841.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73841/E-GEOD-73841.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73841/
E-GEOD-77153	Expression data from VND7 induction line	transcription profiling by array	Arabidopsis thaliana	69	2016-02-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77153/E-GEOD-77153.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77153/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77153/
E-GEOD-77806	Role of root-specific transcription factor MYB72 in regulation of Pseudomonas fluorescens WCS417-mediated changes in gene expression in roots of Arabidopsis thaliana	transcription profiling by array	Arabidopsis thaliana	18	2016-02-11	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77806/E-GEOD-77806.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-77806/E-GEOD-77806.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-77806/
E-GEOD-69389	Expression data from Arabidopsis thaliana root protoplast	transcription profiling by array	Arabidopsis thaliana	11	2016-02-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69389/E-GEOD-69389.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69389/E-GEOD-69389.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-69389/
E-GEOD-61884	Expression profiling of wild-type Arabidopsis and an activation-tagged jaz7-1D line	transcription profiling by array	Arabidopsis thaliana	16	2016-02-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61884/E-GEOD-61884.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61884/E-GEOD-61884.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61884/
E-MTAB-3817	Transcription profiling by array of Arabidopsis wild type and polyamine oxidase 5 loss-of-function mutant exposed to sodium chloride	transcription profiling by array	Arabidopsis thaliana	12	2016-01-25	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3817/E-MTAB-3817.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3817/
E-GEOD-65471	DELAY OF GERMINATION 1 plays a role in Arabidopsis seed maturation	transcription profiling by array	Arabidopsis thaliana	9	2016-01-14	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65471/E-GEOD-65471.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65471/E-GEOD-65471.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65471/
E-MTAB-3510	Transcription profiling by array of A. thaliana columbia stems after treatment of hypoxia to investigate genome-wide gene expression analysis	transcription profiling by array	Arabidopsis thaliana	6	2015-12-31	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3510/E-MTAB-3510.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3510/
E-MTAB-1921	Transcription profiling by array of Arabidopsis thaliana apex response to light irradiation	transcription profiling by array	Arabidopsis thaliana	17	2015-12-31	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1921/E-MTAB-1921.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1921/
E-GEOD-15971	The Arabidopsis DRYK, AtYAK1 regulates the development of the male gametophyte	transcription profiling by array	Arabidopsis thaliana	6	2015-12-31	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-15971/E-GEOD-15971.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-15971/E-GEOD-15971.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-15971/
E-GEOD-47715	Expression data from Arabidopsis root tips rRBr mutant	transcription profiling by array	Arabidopsis thaliana	13	2015-12-23	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-47715/E-GEOD-47715.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-47715/E-GEOD-47715.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-47715/
E-GEOD-21556	Expression data from Arabidopsis thaliana treated with NO donor SNP, compared to NO depletion by cPTIO	transcription profiling by array	Arabidopsis thaliana	9	2015-12-21	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-21556/E-GEOD-21556.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-21556/E-GEOD-21556.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-21556/
E-GEOD-75824	transcription profiling by array of Arabidopsis pam48 (mterf6-1) mutants	transcription profiling by array	Arabidopsis thaliana	6	2015-12-10	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75824/E-GEOD-75824.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-75824/E-GEOD-75824.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-75824/
E-GEOD-60157	Bird Factors integrate positional signals to coordinate asymmetric cell division and cell fate	transcription profiling by array	Arabidopsis thaliana	38	2015-11-02	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60157/E-GEOD-60157.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-60157/E-GEOD-60157.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-60157/
E-GEOD-74346	Expression data from Arabidopsis wild-type, KO-nudx6, KO-nudx7, and double KO-nudx6/7 plants	transcription profiling by array	Arabidopsis thaliana	8	2015-10-28	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74346/E-GEOD-74346.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-74346/E-GEOD-74346.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-74346/
